ResponseID,ExtendedSessionID,UserID,ScenarioOrder,Intervention,PedPed,Barrier,CrossingSignal,AttributeLevel,ScenarioTypeStrict,ScenarioType,DefaultChoice,NonDefaultChoice,DefaultChoiceIsOmission,NumberOfCharacters,DiffNumberOFCharacters,Saved,Template,DescriptionShown,LeftHand,UserCountry3
2223CNmvTr2Coj4wp,-1613944085_422160228641876.0,422160228641876,10,0,1,0,1,Female,Gender,Gender,Male,Female,0.0,4,0,1,Mobile,0.0,0.0,ISR
2223Xu54ufgjcyMR3,1425316635_327833569077076.0,327833569077076,11,0,0,1,0,Old,Age,Age,Young,Old,0.0,5,0,0,Desktop,1.0,0.0,MEX
22244vvSZfn4J9Zop,1525185249_1436495773909467.0,1436495773909470,11,0,0,1,0,Low,Social Status,Social Status,High,Low,0.0,2,0,0,Desktop,1.0,1.0,RUS
2224H2QBFKNsMmRQc,1661661891_4304873273230329.0,4304873273230330,11,0,1,0,0,Female,Gender,Gender,Male,Female,0.0,5,0,0,Desktop,0.0,1.0,TUR
2224YxTZcu4sJqTSD,-887960483_174929057557052.0,174929057557052,6,0,0,0,2,Hoomans,Species,Species,Hoomans,Pets,1.0,5,0,1,Desktop,1.0,0.0,CAN
2224kBG72574tbZD3,737909459_839962439872333.0,839962439872333,12,0,0,1,0,Old,Age,Age,Young,Old,0.0,3,0,1,Desktop,0.0,1.0,MEX
2225giMabFAayqtuZ,119593534_4060326529262035.0,4060326529262040,2,0,0,0,2,Fit,Fitness,Fitness,Fit,Fat,1.0,4,0,1,Mobile,0.0,1.0,USA
2225s6f4PqRQYeBd4,1153359856_8971439613901464.0,8971439613901470,4,0,1,0,1,Fit,Fitness,Fitness,Fit,Fat,1.0,3,0,1,Desktop,1.0,0.0,SAU
2225yzLoy7yvKaToo,-1635005699_8666806392072257.0,8666806392072260,3,0,1,0,2,Less,Utilitarian,Utilitarian,More,Less,0.0,2,3,0,Mobile,0.0,1.0,TUR
2227HLuGTvWooXAs3,670869039_8242632941749120.0,8242632941749120,11,0,0,1,0,Female,Gender,Gender,Male,Female,0.0,1,0,0,Desktop,0.0,0.0,CAN
2227h9GkrNbwhBD6t,-1033736141_5392791780749771.0,5392791780749770,11,0,0,1,0,Male,Gender,Gender,Male,Female,1.0,1,0,0,Desktop,1.0,1.0,BRA
2227sfrgkT3R7PnRo,-1065868016_2391726640665288.0,2391726640665290,11,0,0,0,0,Pets,Species,Species,Hoomans,Pets,0.0,3,0,0,Desktop,1.0,0.0,USA
2228EQY3XnmTh3dq8,-1700464608_947225429117679.0,947225429117679,7,0,0,0,0,More,Utilitarian,Utilitarian,More,Less,1.0,5,4,1,Desktop,1.0,0.0,EGY
2229pfh4f9FoGARtg,-889139020_3276012506.0,3276012506,11,0,1,0,1,Pets,Species,Species,Hoomans,Pets,0.0,5,0,1,,,,ARG
2229qWoicHtyXWHJd,596330438_8731233368451661.0,8731233368451660,6,0,1,0,0,Young,Age,Age,Young,Old,1.0,5,0,0,Desktop,0.0,0.0,RUS
2229sLNgv45TmJLtt,-856623494_492281202,492281202,5,0,0,0,1,Old,Age,Age,Young,Old,0.0,4,0,0,Desktop,1.0,1.0,RUS
2229tF4FYHybPd42B,-1847355550_4243329021.0,4243329021,11,0,0,0,2,More,Utilitarian,Utilitarian,More,Less,1.0,5,2,0,Desktop,0.0,1.0,USA
2229ucE4zPoJcgccb,-446460334_1754240208,1754240208,6,0,1,0,0,Old,Age,Age,Young,Old,0.0,3,0,0,Desktop,0.0,1.0,CAN
222BRvhQN9ZR9LW5h,-972264246_4277296232223713.0,4277296232223710,12,0,0,1,0,Pets,Species,Species,Hoomans,Pets,0.0,5,0,0,Desktop,1.0,1.0,BRA
222Bih22xMQR5brhF,-841718081_3084184331213722.0,3084184331213720,11,0,0,0,2,Pets,Species,Species,Hoomans,Pets,0.0,4,0,0,Desktop,0.0,0.0,BRA
222BwfGaNn8Cbw9pA,2001202824_9464775203963342.0,9464775203963340,5,0,1,0,1,Fit,Fitness,Fitness,Fit,Fat,1.0,2,0,1,Desktop,0.0,0.0,DEU
222CbE88xiTMNWoH3,1804021951_405510046592469.0,405510046592469,4,0,0,0,0,Hoomans,Species,Species,Hoomans,Pets,1.0,1,0,1,Desktop,1.0,0.0,USA
222Ds6jjncKAX9NKZ,-354275885_3396484959539468.0,3396484959539470,4,0,1,0,2,More,Utilitarian,Utilitarian,More,Less,1.0,5,3,1,Desktop,0.0,1.0,AUT
222EFaYsJGu8PN7B2,1247311683_3858850116393528.0,3858850116393530,6,0,1,0,2,Female,Gender,Gender,Male,Female,0.0,2,0,1,Desktop,1.0,0.0,CAN
